Quote_ID,Original_Quote_Date,Field_info1 (to number),Field_info2,Field_info3,Field_info4,Coverage_info1,Coverage_info2,Coverage_info3 (to number),Sales_info1,Sales_info2,Sales_info3,Sales_info4 (to number),Sales_info5,Personal_info2,Personal_info3 (to number),Personal_info4,Property_info1,Property_info2,Property_info3 (to number),Property_info4,Property_info5,Geographic_info1,Geographic_info2,Geographic_info3,Geographic_info4,Geographic_info5 (to number)
24814,11/07/2014,2,0.8928,1113,0,9,22,3,0,3,11,2,0.918592531,4,12,0,0,0,4,1,13,3,5,-1,0,2
6968,20/04/2015,4,0.887,1113,1,7,22,5,1,5,11,1,0.59585145,7,11,0,0,0,4,1,4,25,10,-1,0,2
2671,25/09/2013,0,0.9919,564,0,10,22,0,0,3,4,3,0.564491631,-1,13,0,0,0,0,1,18,4,19,-1,0,0
19350,28/03/2015,4,0.887,1113,1,8,22,3,1,5,11,6,0.483188397,7,14,0,0,0,4,1,12,14,8,-1,0,2
24636,11/07/2013,2,0.9691,1165,0,13,22,6,1,3,1,3,0.006388111,-1,11,0,0,0,6,1,21,14,5,-1,0,2
18480,31/01/2014,0,0.9838,548,0,20,22,0,1,4,7,2,0.821371136,6,15,0,0,0,0,1,23,4,19,-1,0,0
19592,15/04/2014,2,0.8922,1113,0,23,22,4,1,5,22,1,0.310337125,6,8,0,0,0,4,1,9,25,11,-1,0,2
23122,28/09/2013,1,0.9403,965,0,5,22,1,1,5,4,6,0.949282268,23,1,0,0,0,3,0,13,2,11,-1,0,1
14602,19/11/2014,1,0.9153,935,0,8,22,0,1,4,11,1,0.747319674,5,1,0,0,0,3,1,23,2,9,-1,0,1
14128,9/01/2014,1,0.9403,935,0,3,22,0,1,3,20,4,0.983099053,6,1,0,0,0,3,1,7,2,12,-1,0,1
12028,17/03/2015,0,1.0101,548,0,10,22,0,1,5,11,6,0.804455298,16,14,0,0,0,0,1,16,4,21,-1,0,0
22364,30/11/2014,1,0.9153,935,0,17,22,1,1,5,11,3,0.916299363,5,1,0,1,0,3,1,19,2,4,-1,0,1
15315,13/11/2013,1,0.9403,965,0,14,22,1,0,5,7,3,0.183513014,5,1,0,0,0,3,0,15,2,4,-1,0,1
4140,27/11/2014,1,0.9153,935,0,25,22,1,1,5,11,5,0.90712669,25,1,0,0,0,3,1,18,2,12,-1,0,1
25594,23/08/2013,0,0.9919,564,0,4,22,0,1,3,21,2,0.84923164,22,5,0,0,0,0,1,17,4,20,-1,0,0
4043,8/03/2013,1,0.9403,965,0,6,22,0,0,3,14,2,0.619780809,21,1,0,0,0,3,1,12,2,4,-1,0,1
4157,6/03/2015,5,0.893,1487,1,11,22,7,1,5,11,2,0.010572399,1,4,0,0,0,5,1,5,9,25,-1,0,3
17349,24/08/2013,2,0.9691,1165,0,7,22,4,1,5,4,6,0.965423789,7,16,0,0,0,1,1,4,14,5,25,0,2
12542,18/04/2014,0,1.0006,548,0,17,22,8,1,3,20,3,0.163440348,9,16,0,0,0,9,1,24,4,19,-1,0,0
1505,26/05/2013,1,0.9403,965,0,12,25,8,1,4,1,5,0.745532789,-1,1,0,0,0,3,1,24,2,9,-1,0,1
15609,5/11/2013,3,0.9482,1480,0,5,22,2,0,4,7,0,0.944130085,-1,17,0,0,0,0,1,7,9,24,-1,1,3
15650,28/02/2013,1,0.9403,965,0,11,22,0,1,3,14,4,0.650783251,5,1,0,1,0,3,0,23,1,8,-1,0,1
983,6/03/2014,0,0.9566,548,0,6,25,0,1,4,11,3,0.280793972,6,16,0,1,0,0,1,8,4,17,-1,0,0
12391,1/02/2013,3,0.9368,1480,0,16,22,3,1,3,14,2,0.904059205,16,8,0,0,0,0,1,23,9,24,-1,0,3
7920,14/11/2014,2,0.887,1113,0,12,22,4,1,5,11,6,0.720382393,-1,1,0,0,0,4,0,13,14,5,-1,1,2
14697,24/09/2014,3,0.9194,1487,0,10,2,3,0,2,20,3,0.071981655,19,9,0,0,0,5,1,19,9,23,-1,0,3
491,20/06/2013,3,0.9485,1480,0,2,25,2,1,4,1,4,0.406873548,-1,4,0,0,0,0,0,1,10,23,-1,0,3
4752,8/04/2014,1,0.9153,935,0,4,25,0,1,3,20,0,0.298856394,7,1,0,0,0,6,1,15,2,7,-1,0,1
9578,30/04/2013,3,0.9525,1480,0,3,22,2,1,5,1,0,0.860310322,16,1,0,1,0,0,0,2,8,23,-1,0,3
3161,17/01/2014,0,0.9838,548,0,11,22,0,0,3,20,1,0.15309131,5,5,0,0,0,0,1,22,4,22,-1,0,0
7068,11/03/2015,4,0.887,1113,1,10,22,5,0,5,11,3,0.560739174,-1,1,0,0,0,5,0,5,14,9,-1,0,2
12714,31/08/2014,0,1.0006,548,0,14,22,4,0,5,10,5,0.138930252,4,18,0,0,0,0,1,19,4,22,-1,0,0
18702,23/07/2013,0,0.9919,564,0,12,22,4,1,3,16,0,0.003216392,16,19,0,0,0,5,0,10,4,20,-1,0,0
17988,4/06/2013,0,0.9919,564,0,2,22,0,1,3,17,0,0.367874799,5,4,0,0,0,3,1,9,4,18,-1,0,0
7120,19/01/2015,1,0.9153,935,0,17,2,1,0,5,8,1,0.248644946,4,1,0,0,0,3,1,22,2,10,-1,0,1
7369,9/03/2014,0,0.9566,548,0,4,2,0,0,5,20,5,0.527949848,4,4,0,0,0,0,1,14,4,22,-1,0,0
3926,14/08/2013,0,0.9919,564,0,9,22,0,1,5,4,3,0.875335041,-1,20,0,0,0,0,1,9,4,20,-1,0,0
573,23/07/2013,1,0.9403,965,0,10,25,1,1,5,1,0,0.644082435,-1,1,0,0,0,3,1,11,2,10,-1,0,1
24049,7/10/2014,3,0.9108,1487,0,3,22,2,1,5,11,1,0.732012032,12,21,0,0,0,8,1,1,11,23,-1,0,3
22185,3/06/2013,1,0.9403,965,0,9,22,1,0,5,17,5,0.205193877,-1,1,0,0,0,6,0,15,2,9,-1,0,1
6201,14/08/2013,3,0.9487,1480,0,4,22,2,1,5,4,3,0.330067306,14,1,0,0,0,0,0,6,9,24,-1,0,3
2446,14/04/2015,1,0.9153,935,0,17,22,2,1,3,20,0,0.427467389,7,1,0,0,0,3,0,25,2,4,-1,0,1
15898,11/03/2014,3,0.9392,1487,0,2,2,2,1,4,11,0,0.132780392,6,16,0,0,0,0,1,1,8,23,-1,0,3
9412,12/05/2015,4,0.887,1113,1,19,22,4,1,5,11,0,0.962266961,-1,1,0,0,0,4,0,15,14,4,-1,0,2
12659,13/04/2014,1,0.9153,935,0,4,22,1,1,5,11,5,0.01314849,13,1,0,0,0,3,0,4,2,4,-1,0,1
18123,13/07/2014,2,0.8928,1113,0,4,22,5,0,5,11,5,0.989636071,-1,18,0,0,0,1,1,5,14,4,-1,0,2
18226,17/09/2013,1,0.9403,965,0,25,22,1,1,5,4,0,0.809726607,10,1,0,0,0,3,0,24,2,11,-1,0,1
3314,14/05/2013,2,0.9691,1165,0,3,22,5,0,2,3,0,0.986672821,18,3,0,0,0,1,1,2,13,7,-1,0,2
22100,12/07/2013,1,0.9403,965,0,8,22,8,1,4,1,0,0.751608196,5,1,0,1,0,3,1,19,2,4,-1,0,1
22841,21/02/2015,4,0.887,1113,1,23,2,4,1,5,11,2,0.130263863,5,20,0,0,0,4,1,19,14,5,-1,0,2
21462,19/09/2014,2,0.8928,1113,0,6,22,4,1,5,11,2,0.99428197,6,22,0,0,0,4,1,4,13,8,-1,0,2
25491,5/09/2013,1,0.9403,965,0,7,22,1,1,5,4,4,0.078012389,5,1,0,0,0,3,1,8,2,4,-1,0,1
21956,2/10/2013,3,0.9482,1480,0,11,22,3,1,4,4,3,0.734334981,7,4,0,0,0,0,1,18,9,23,-1,0,3
15565,26/02/2013,3,0.9368,1480,0,21,25,3,1,4,23,4,0.495041396,25,3,0,0,0,4,1,19,9,23,-1,0,3
12054,13/05/2013,1,0.9403,965,0,10,22,1,0,5,15,1,0.417713979,-1,1,0,0,0,3,0,23,2,13,-1,0,1
25868,30/01/2013,0,0.9223,564,0,5,22,0,1,3,14,3,0.654446364,6,8,0,0,0,8,0,13,4,22,-1,0,0
7893,16/10/2013,3,0.9482,1480,0,9,22,5,0,5,4,3,0.157528739,-1,1,0,0,0,0,0,10,9,24,-1,0,3
744,1/05/2013,3,0.9525,1480,0,3,22,2,0,5,10,3,0.55512538,18,5,0,0,0,6,1,4,11,25,-1,0,3
8925,15/01/2014,0,0.9838,548,0,23,2,0,1,5,7,3,0.527458455,21,5,0,0,0,0,0,14,4,20,-1,0,0
10864,5/02/2013,1,0.9403,965,0,9,22,8,0,5,24,0,0.940064923,5,1,0,0,0,6,0,23,1,6,-1,0,1
5302,29/12/2014,0,1.0005,548,0,5,25,0,1,2,20,4,0.963800703,9,0,0,0,0,0,1,4,4,18,-1,0,0
1171,23/03/2015,4,0.887,1113,1,25,22,4,1,5,11,1,0.045342188,-1,19,0,0,0,4,1,16,14,6,-1,1,2
19159,5/11/2014,2,0.887,1113,0,11,25,4,1,4,11,3,0.547248198,9,8,0,0,0,1,1,25,14,5,-1,0,2
2481,6/01/2015,1,0.9153,935,0,11,22,1,0,5,20,1,0.809399011,10,1,0,0,0,3,1,22,2,12,-1,0,1
1686,29/08/2013,1,0.9403,965,0,9,25,8,1,4,4,4,0.979197689,6,1,0,0,0,3,0,16,2,4,-1,0,1
20894,5/08/2014,3,0.9364,1487,0,9,22,5,1,5,11,3,0.231386622,13,20,0,0,0,8,0,17,9,25,-1,0,3
13400,21/11/2013,3,0.9482,1480,0,1,22,2,0,5,10,4,0.610101852,4,23,0,0,0,6,0,1,11,25,-1,0,3
13547,23/04/2013,1,0.9403,965,0,19,22,1,1,2,15,0,0.124188457,5,1,0,0,0,3,0,25,2,9,-1,0,1
18492,8/05/2013,1,0.9403,965,0,12,22,1,1,5,1,3,0.524778129,7,1,0,0,0,3,0,19,2,12,-1,0,1
1097,6/04/2015,6,1.0101,548,0,10,25,8,1,3,8,1,0.795223063,6,10,0,1,0,8,1,18,4,18,-1,0,0
19254,29/12/2014,2,0.887,1113,0,2,22,5,1,4,22,1,0.141938174,5,5,0,0,0,0,1,2,25,4,-1,0,2
8336,8/01/2013,0,0.9223,564,0,10,25,0,1,3,23,0,0.637441182,14,16,0,0,0,6,1,22,4,20,-1,0,0
24955,30/03/2014,1,0.9153,935,0,11,25,1,1,5,20,5,0.906382155,-1,1,0,1,0,3,1,14,2,13,-1,0,1
21346,6/03/2014,1,0.9153,935,0,8,22,1,0,5,20,4,0.496351778,5,1,0,0,0,3,0,5,2,13,-1,0,1
19089,16/03/2015,1,0.9153,935,0,2,22,0,1,3,20,4,0.344883555,7,1,0,0,0,6,0,12,1,4,-1,0,1
4072,9/09/2014,2,0.8928,1113,0,9,22,5,1,5,11,0,0.301402704,6,8,0,0,0,5,1,10,18,4,-1,0,2
1639,17/06/2014,1,0.9153,935,0,5,22,1,1,5,11,0,0.339344213,22,1,0,0,0,0,1,8,2,13,-1,0,1
9980,16/12/2013,0,0.9838,564,0,5,22,0,1,5,20,1,0.298513908,6,3,0,0,0,8,1,9,4,18,-1,0,0
493,21/08/2014,2,0.8928,1113,0,25,22,4,1,4,11,4,0.84583656,21,7,0,0,0,4,1,20,14,6,-1,0,2
10791,11/03/2014,1,0.9153,935,0,3,22,1,1,5,20,0,0.568005837,-1,1,0,0,0,6,0,15,2,8,-1,0,1
10788,26/11/2014,1,0.9153,935,0,11,25,0,0,2,20,1,0.982979927,7,1,0,0,0,3,1,17,2,4,-1,0,1
4075,12/06/2014,1,0.9153,935,0,3,22,1,1,5,11,4,0.875603073,14,1,0,0,0,3,0,14,2,11,25,0,1
14920,23/07/2014,0,1.0006,548,0,6,22,0,1,5,11,4,0.150679016,-1,24,0,0,0,0,0,12,4,17,-1,0,0
2662,5/11/2014,2,0.887,1113,0,8,25,4,1,4,8,3,0.195306451,4,25,0,0,0,4,1,12,24,12,-1,1,2
21745,1/03/2014,0,0.9566,548,0,3,22,0,1,5,11,6,0.173104414,-1,6,0,0,0,0,1,5,4,18,-1,0,0
16570,10/04/2015,4,0.887,1113,1,3,25,5,1,4,11,2,0.792051343,7,18,0,0,0,1,1,4,14,7,-1,0,2
17599,6/09/2013,1,0.9403,965,0,18,22,1,1,5,4,2,0.16899458,-1,1,0,0,0,3,0,21,2,11,-1,0,1
12561,14/05/2015,0,1.0101,548,0,8,22,0,0,3,11,2,0.790368694,5,26,0,0,0,6,0,13,4,19,-1,0,0
3982,18/02/2014,0,0.9685,548,0,16,22,0,1,3,20,4,0.713711359,8,8,0,1,0,6,1,23,4,21,-1,0,0
12795,19/07/2013,2,0.9691,1165,0,4,22,5,0,5,1,2,0.031091786,6,1,0,0,0,4,0,3,14,8,-1,0,2
11951,30/12/2014,2,0.887,1113,0,25,25,4,1,5,11,0,0.652123414,17,20,0,1,0,5,1,24,14,6,-1,0,2
4260,12/04/2014,1,0.9153,935,0,5,22,1,1,5,11,6,0.242390851,16,1,0,0,0,3,0,21,2,10,-1,0,1
6901,25/06/2013,0,0.9919,564,0,10,22,0,1,3,17,0,0.184748943,-1,3,0,0,0,4,1,14,4,22,-1,0,0
7725,21/09/2013,1,0.9403,965,0,18,25,1,0,5,24,6,0.003946036,5,1,0,0,0,3,0,25,2,8,-1,0,1
3509,31/01/2014,2,0.8922,1113,0,18,22,3,0,5,7,2,0.138423968,7,25,0,0,0,4,1,20,14,6,-1,0,2
13504,17/03/2015,0,1.0101,548,0,10,22,0,1,3,20,0,0.283593424,6,16,0,0,0,0,0,9,4,18,-1,0,0
20704,5/12/2013,1,0.9403,965,0,8,22,0,1,3,20,4,0.243492763,4,1,0,0,0,3,1,7,2,8,-1,0,1
19563,25/03/2013,0,0.8945,564,0,23,25,0,1,3,15,1,0.596521532,10,12,0,0,0,4,1,24,4,21,-1,0,0
1496,15/12/2014,1,0.9153,935,0,4,22,0,1,4,11,1,0.717017095,5,1,0,0,0,3,1,3,2,13,-1,1,1
18459,1/12/2014,1,0.9153,935,0,10,22,1,1,5,11,1,0.806376199,12,1,0,0,0,6,1,23,2,13,-1,0,1
3782,25/07/2013,1,0.9403,965,0,3,22,1,0,5,24,3,0.01590327,-1,1,0,0,0,6,1,8,2,10,-1,0,1
1548,9/01/2014,1,0.9403,935,0,7,22,0,1,3,20,4,0.943534457,21,1,0,0,0,3,1,12,2,4,-1,0,1
18466,18/02/2013,0,0.9023,564,0,6,22,0,1,3,14,1,0.321103103,7,11,0,0,0,0,1,13,4,22,-1,0,0
22995,5/06/2013,1,0.9403,965,0,6,22,1,0,4,1,1,0.210897016,7,1,0,0,0,6,0,14,2,9,-1,0,1
25038,28/06/2014,1,0.9153,935,0,3,22,1,0,5,10,6,0.982384299,24,1,0,0,0,3,1,2,2,5,-1,0,1
7264,20/01/2014,1,0.9403,935,0,20,22,8,1,3,20,1,0.872922747,7,1,0,0,0,3,1,19,2,12,-1,0,1
16627,26/03/2015,0,1.0101,548,0,4,25,0,1,5,11,4,0.985764489,10,8,0,0,0,0,1,3,4,16,-1,0,0
8359,11/12/2014,3,0.9108,1487,0,6,22,5,1,5,11,4,0.738325689,5,5,0,0,0,6,1,9,9,23,-1,0,3
10688,3/12/2013,2,0.8922,1165,0,8,22,4,1,5,7,0,0.366281494,16,1,0,1,0,0,0,6,14,5,-1,0,2
2543,20/02/2013,1,0.9403,965,0,12,25,8,1,3,14,0,0.87064447,6,1,0,0,0,3,1,18,2,4,-1,0,1
24984,7/03/2013,3,0.9375,1480,0,2,25,2,1,4,23,4,0.529453809,4,18,0,0,0,0,1,4,11,24,-1,0,3
10121,25/09/2013,1,0.9403,965,0,11,22,1,0,5,4,1,0.812198463,5,1,0,0,0,5,1,25,2,10,-1,0,1
10265,12/05/2015,0,1.0101,548,0,9,22,8,1,5,11,0,0.299154208,6,9,0,0,0,0,1,11,4,16,-1,0,0
279,9/04/2014,1,0.9153,935,0,8,22,0,1,3,20,2,0.913812615,6,1,0,0,0,3,0,16,2,12,-1,0,1
15750,8/03/2013,0,0.8945,564,0,6,22,0,1,5,23,2,0.039624159,12,10,0,0,0,8,1,11,4,18,-1,0,0
16449,18/10/2014,2,0.8793,1113,0,4,22,5,0,5,22,6,0.856140926,5,1,0,0,0,0,0,2,24,15,-1,0,2
3270,24/02/2014,1,0.9403,935,0,16,22,1,0,5,24,1,0.0458038,-1,1,0,0,0,3,0,25,2,4,-1,0,1
22351,5/01/2015,4,0.887,1113,1,25,22,3,1,5,11,1,0.274673894,14,3,0,1,0,2,1,22,24,14,-1,0,2
3246,1/12/2013,1,0.9403,965,0,7,22,1,0,5,24,5,0.267764608,6,1,0,0,0,0,1,4,2,12,25,0,1
94,11/04/2015,0,1.0101,548,0,1,22,0,1,5,20,6,0.772797665,5,17,0,0,0,0,1,3,4,16,-1,0,0
316,4/03/2015,4,0.887,1113,1,6,22,5,1,5,11,3,0.086738341,-1,18,0,0,0,4,1,7,24,15,-1,0,2
20962,22/07/2014,2,0.8928,1113,0,4,25,2,1,4,11,0,0.282997796,3,4,0,0,0,0,1,4,14,6,-1,0,2
169,19/12/2014,0,1.0005,548,0,9,22,0,1,3,20,4,0.159807016,9,22,0,0,0,6,1,24,4,22,-1,0,0
19091,6/03/2015,0,1.0101,548,0,5,22,0,1,3,20,3,0.59902317,9,18,0,0,0,8,1,13,4,20,-1,0,0
23937,16/08/2014,2,0.8928,1113,0,2,22,5,1,5,11,6,0.397968908,5,16,0,0,0,6,1,1,13,6,-1,0,2
2730,12/10/2013,0,0.9919,564,0,6,25,6,1,4,4,6,0.636845554,6,22,0,0,0,0,1,14,4,20,-1,0,0
7478,11/07/2014,1,0.9153,935,0,5,22,0,1,3,20,2,0.039177438,4,1,0,0,0,3,0,21,2,4,-1,0,1
21267,29/06/2014,3,0.9392,1487,0,3,22,2,1,5,20,5,0.601122759,5,1,0,0,0,0,0,4,9,23,-1,0,3
14411,17/07/2014,1,0.9153,935,0,4,22,0,1,3,20,4,0.292810769,4,1,0,1,0,3,1,22,2,11,-1,0,1
10102,9/05/2015,5,0.8746,1487,1,3,22,2,1,5,11,6,0.211552207,7,16,0,0,0,0,1,1,11,24,-1,0,3
14160,29/10/2014,0,1.0006,548,0,4,22,0,0,3,20,4,0.845136697,6,26,0,0,0,8,1,12,4,19,-1,0,0
4566,24/04/2015,1,0.9153,935,0,10,22,0,1,3,20,2,0.311662398,5,1,0,0,0,3,1,24,2,4,-1,0,1
11560,12/05/2014,0,1.0006,548,0,8,2,7,1,5,20,1,0.221752338,-1,18,0,0,0,0,1,17,4,19,-1,0,0
19130,25/11/2014,2,0.887,1113,0,14,22,5,1,5,11,0,0.79240872,6,9,0,0,0,10,1,9,6,4,-1,0,2
23443,17/12/2014,2,0.887,1113,0,8,22,4,1,5,11,3,0.263088927,8,22,0,0,0,1,1,10,14,5,-1,0,2
11506,28/03/2014,0,0.9566,548,0,9,22,0,1,5,11,2,0.722392638,23,11,0,0,0,8,0,12,4,20,-1,0,0
5990,25/01/2014,1,0.9403,935,0,9,22,1,1,5,20,6,0.67961165,8,1,0,0,0,3,0,21,2,9,-1,0,1
24599,12/09/2013,0,0.9919,564,0,3,22,0,1,4,4,4,0.654833522,12,27,0,0,0,0,1,10,4,20,-1,0,0
22469,23/05/2014,2,0.8928,1113,0,3,22,5,0,5,11,2,0.557061171,-1,1,0,0,0,0,0,2,24,13,-1,0,2
12634,20/03/2014,1,0.9153,935,0,8,2,2,0,4,11,4,0.528143427,1,1,0,1,0,3,1,22,2,12,-1,0,1
25593,3/10/2013,1,0.9403,965,0,11,25,1,0,5,4,4,0.710584311,-1,1,0,0,0,3,1,23,1,15,-1,0,1
12167,5/08/2013,1,0.9403,965,0,9,22,1,0,5,4,1,0.63105307,-1,1,0,0,0,6,0,23,1,11,-1,0,1
22916,6/11/2013,2,0.9258,1165,0,8,22,5,0,5,7,3,0.481669546,6,1,0,0,0,1,0,9,14,6,-1,0,2
11115,15/06/2013,1,0.9403,965,0,15,25,0,1,3,17,6,0.789683721,7,1,0,0,0,3,0,25,2,9,-1,0,1
7640,15/10/2014,2,0.8793,1113,0,22,22,4,1,5,11,3,0.878551432,-1,3,0,0,0,5,1,12,12,5,-1,0,2
10762,25/03/2014,3,0.9392,1487,0,13,22,5,0,5,11,0,0.362960867,7,1,0,0,0,0,0,12,9,24,-1,0,3
6632,13/12/2013,0,0.9838,564,0,20,22,5,0,5,20,2,0.310322235,24,0,0,0,0,6,1,24,4,21,-1,0,0
18325,9/03/2013,1,0.9403,965,0,8,22,1,0,5,23,3,0.383316457,7,1,0,0,0,3,1,13,2,4,-1,0,1
19014,6/09/2013,1,0.9403,965,0,17,25,8,1,3,21,2,0.08332837,2,1,0,0,0,3,1,22,2,4,-1,0,1
3236,7/04/2015,1,0.9153,935,0,6,22,1,1,5,11,4,0.810828519,-1,1,0,0,0,3,1,7,2,9,-1,0,1
545,11/05/2015,5,0.8746,1487,1,6,22,3,0,2,20,0,0.399800465,12,3,0,0,0,4,1,9,9,24,-1,0,3
23258,2/08/2013,1,0.9403,965,0,14,22,1,0,5,24,2,0.137336947,4,1,0,0,0,3,0,20,1,11,-1,0,1
25286,29/04/2014,0,1.0006,548,0,7,22,6,0,5,20,0,0.104562511,-1,13,0,0,0,0,0,12,4,19,-1,0,0
16728,11/01/2014,3,0.9472,1487,0,5,22,2,0,5,7,6,0.868217285,6,1,0,0,0,0,0,8,10,24,-1,0,3
617,13/01/2014,1,0.9403,935,0,2,22,8,1,4,7,1,0.201352076,13,1,0,0,0,3,1,3,2,4,-1,0,1
3021,17/06/2014,1,0.9153,935,0,5,2,8,1,2,20,0,0.575972363,5,1,0,0,0,3,1,13,2,6,-1,0,1
11141,7/10/2013,1,0.9403,965,0,1,2,1,0,5,4,1,0.837304187,-1,1,0,0,0,3,1,3,2,4,-1,0,1
12570,11/02/2015,4,0.887,1113,1,5,25,5,1,4,11,3,0.943221752,16,4,0,0,0,4,1,3,14,6,-1,0,2
15689,28/01/2014,0,0.9838,548,0,8,22,0,1,5,20,0,0.930341295,5,14,0,0,0,0,0,18,4,22,-1,0,0
14912,7/11/2013,1,0.9403,965,0,9,22,0,0,5,7,4,0.901229972,-1,1,0,0,0,3,1,23,1,15,-1,0,1
